question|first_chunk|first_question|chunks|questions|decision
Не получается добавить сущность в бизнес процесс|1c07ea22-eac2-4a63-96f6-953935eca8e3|7aa81280-2b14-40c9-abce-3256bd6d075b|[7.11049172424505, 6.831009003505688, 6.801176710010383, 6.605029127105773, 3.371583645226428, 3.2577962943311247]|[7.107716615593541, 6.721933225062067, 3.707001916559614, 3.371583645226428, 3.203545488872372, 3.1833122737526027, 3.170354421483906]|{'show_chunks': 0, 'show_questions': 2, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
как мне добавить статью в базу знаний?|d3be2052-b9ef-4dc8-9cea-12a7c3067d9a|6db0b113-d171-41d6-a302-7512ac821760|[12.00060153131368, 11.306278316527143, 11.158004097877116, 9.252588592197451, 8.273630392637319, 4.0980725481649225, 4.0357701213848625]|[14.181834012041344, 8.273630392637319, 8.14783736879283, 7.217528771389322, 5.274654850485251]|{'show_chunks': 3, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
поля для досок единые или у каждой достки свои?|56e0e3e0-36ea-4dbc-a4f3-55100fa02e4b|728b2a35-63c0-4c81-bf76-5f37b9c53b47|[7.907109649509847, 7.73887123104209, 7.408562300778584, 6.811370769684531, 3.464653227308641]|[8.463976816642056, 8.348688744766896, 7.997479154299068, 5.057623975306982, 3.7233797697490885, 3.6481860527013343, 3.5370990574217247]|{'show_chunks': 2, 'show_questions': 3, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
на бесплатном пробном периоде не могу попробовать создать структуру, метрики|9cc45678-a12a-4cc0-afdf-e18d39905ca5|c7a384ed-5b7d-447d-8959-5138f012278e|[6.142349996006596, 5.803106510001154, 3.122094718634536, 2.983583654504145, 2.938255570476945, 2.869052205748941]|[6.376492338320018, 6.051159114615494, 3.0816129244969552, 2.983583654504145, 2.955508516377432]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
как добавить должность?|7b6fbbca-990c-4573-86c3-d618e9d85e0f|a37b97e2-e8a5-4d9c-86c6-af96b5c12141|[9.526208205370885, 9.375730473825476, 9.309577653648654, 8.957535049396473, 3.8885393979273286, 3.833030786652214]|[10.95258841088488, 10.690581309823063, 5.740196252856888, 5.447831241823751, 4.719380505245978]|{'show_chunks': 4, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Можно ли поменять язык интерфейса на английский или надо делать новый аккаунт?|6810eb6f-21c7-4fa7-8027-fd1f53ac7d19|4c9f5a5d-0770-43a8-9e9c-4fef53adbdb5|[9.160481468505482, 8.472809009215048, 3.830223975153748, 3.4517962966449165, 3.173387243211834]|[12.225013705622034, 8.887798534333257, 8.532503878458163, 3.830223975153748]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Можно ли через бесплатный аккаунт дать доступ на просмотр члену команды?|4e45abcb-08d2-4173-8e88-815fe922d4ba|2f622ec5-c1ac-4ae8-b4e4-dc0b406a9574|[7.709405196328385, 4.822546472679787, 4.460394403642285, 4.405521496597594, 3.3221209975462123, 3.226775525904556, 3.198584915597586, 3.182081491115152]|[4.822546472679787, 4.562859881182776, 4.460394403642285, 4.405521496597594]|{'show_chunks': 1, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
Можно ли в оргсхеме добавить поле компенсации?|14705fea-e1a5-4403-8b8d-e0deac0496c7|4af00aa1-f74a-431e-aaf9-3054f7bf6f5d|[7.534009786130172, 7.383397552115861, 6.9778948348797405, 2.881615428922256, 2.8469314260139527]|[9.343124464710469, 8.89785192144921, 4.320558830062224, 4.2459630400724215, 3.7177251015120665]|{'show_chunks': 1, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|cbfb68bc-524c-4797-87ee-7d6b3c09c109|00e8d565-e112-48b5-9d56-f146ac02cd68|[7.042681859919602, 6.98789820763736, 3.9566554063296238, 3.741846472746786, 3.7388478381839825, 3.6952718551415695, 3.218225159302684, 3.208906556742423]|[3.9566554063296238, 3.8186756715571506, 3.741846472746786, 3.6952718551415695, 3.4922609022726983]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
как можно закрыть доступ к файлу с документами всем сотрудникам ?|6a340e71-d11d-47d2-bec6-f864bb002cf6|c75fc1c1-e650-46f7-b3a9-03b3b254ed85|[9.235865492900224, 8.717340313534223, 8.21536697257785, 5.8563045699932745, 5.842113322550791, 3.572326652988929, 3.3278037928183677]|[10.625836188283042, 6.0228525847099705, 5.8563045699932745, 5.842113322550791, 5.041732215553891, 4.6357304193200015]|{'show_chunks': 3, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
почему долларовые остатки в рублях показываются?|43ae76d2-b135-41a1-a277-cc5b205bf3f9|5b3e1b1f-2772-4d57-86a9-04e621de7455|[8.062319806673942, 7.893674643299754, 7.255569732902909, 4.068004659341427, 3.2908862142241855]|[9.42883213609528, 9.39363631839783, 7.80801930082896, 4.068004659341427, 3.593098649494602, 3.544834115752546]|{'show_chunks': 2, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как мне из основного акаунта скопировать схему?|61689bab-35de-442a-9196-1f7f8e82dd4d|abf551c7-9620-4901-9859-1037a6f50ab8|[7.380218906345147, 6.81491749670456, 3.9326758564658597, 3.9205230911093345, 3.223138520745049, 3.1325322080734903, 2.897672142385323]|[8.88437654523657, 3.984383280529911, 3.9326758564658597, 3.9205230911093345]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
что не входит в наш тариф?|ecfa91c1-fe52-47fe-b28e-2019197de2c9|ee55187c-febd-408a-92b6-0edd04fa6d64|[6.993561173280516, 6.882598981538917, 6.758107141079867, 6.69284066597663, 6.580315775299031, 3.3850047852904197, 3.2952980785302812]|[4.155576880433466, 3.9514973313545876, 3.932222823403702, 3.870703063311608, 3.702987049534015, 3.6013077191642937, 3.441769666782232, 3.27090183570349, 3.2520063100942025]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
если у сотрудника в настройках доступов стоит галочка Изменение значений всех статистик, то он может заполнять любые статистики, не зависимо, есть у него просроченные курсы или нет?|4e45abcb-08d2-4173-8e88-815fe922d4ba|27983f2b-326f-4cf3-ab00-c28c3e19cf70|[7.423900929749173, 4.27433395756268, 4.1684869968459095, 4.071937444370938, 3.8385667460895263, 3.7950702046149196, 3.749712746244245, 3.738493339954402]|[4.27433395756268, 4.071937444370938, 3.7950702046149196, 3.738493339954402, 3.7094521713569284]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Можно ли о тестов убрать количества ошибок?|7bb39aff-60db-4daf-bc2e-815fa5ca4f29|6f5f63d3-78f9-4937-8ad6-97c0c6bf577e|[7.647992901092477, 7.442305869669003, 7.309476267197778, 7.131518800820379, 6.8484276427022515, 6.793254051657632, 3.0274982335911194]|[8.222595079364183, 4.729344163956756, 4.442962152021658, 4.092141138879658, 4.007579595335698, 3.7891299646714534]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
А можно ли в задаче сразу бронировать пространство?|a943bca9-32ac-40db-a6a4-22955ded99c6|c09a66db-3bdc-4d75-9ca6-556e93ac8b97|[7.314229794136074, 3.8019779004523246, 3.219835945358109, 2.747575615494378, 2.7177132949010607]|[8.020216402510535, 7.633467252087267, 7.580547245138046, 3.8019779004523246, 3.750152361250117, 3.6798382357182735, 3.457032953175187]|{'show_chunks': 0, 'show_questions': 3, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Как удалить данные старого сотрудника?|90fef5e9-d73c-4269-86f0-85ba5a96ae4a|8974f359-72ba-463d-a0ea-65c327e0eb2f|[10.724782871162855, 10.46155069555829, 6.289385612873562, 3.558610689778708, 3.4782576966630137, 3.4042506220179964]|[12.811463537789463, 7.947128143955942, 6.79806133958821, 6.289385612873562]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
подскажите как удалить демо данные из разделов|ee0b5f82-e07f-473a-8a85-6f0e5e7a1ffc|165e4773-f655-4fb5-9a32-5d795c5275e3|[7.6661513606164045, 7.285577256981043, 7.279164152115898, 6.47256429438632]|[8.32393522417422, 7.871769327332184, 7.009199325116838, 6.725345893671394, 3.279936439220004, 3.1341742583683074, 3.1037590668899844, 3.0333132223959303]|{'show_chunks': 1, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Если по менеджеру была проведена проверка и были выявлены нарушения, есть ли уведомления на такие действия?|209320cd-4f09-49d2-8c50-162181f3f973|63942e7d-d9b0-4feb-8ec2-7f631c7a57af|[7.773730732294348, 6.85133012256043, 6.601180073772783, 4.194828353544193, 2.911682923078899, 2.903179509080517]|[10.502138413046973, 7.758475308127084, 4.194828353544193, 3.9763323931230743, 3.658879172179704]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
есть ли возможность переносить колонку с задачами целиком на другую доску|42692010-f283-4298-b134-f9280cb0d274|a647c4c7-7d29-4f5f-87a9-cd4ba972feef|[7.255851273760519, 7.1767237742623315, 6.89148248065062, 4.0433644470604015, 3.701229451100201, 3.594339924799844, 3.523519668776194]|[7.518196390045073, 4.194465224757076, 4.0433644470604015, 3.68792108737427, 3.5596994673780458, 3.4821408965198755]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Как сделать так, чтобы тренер видел материалы курса, где он тренер?|5f00f7c5-3f2d-4e8f-8552-f4d8bffed666|46ac93ea-f3cc-4009-bcf0-c210b4ac7b8d|[7.823677920949191, 7.720602343913008, 7.698111954849774, 7.577353682014592, 7.414292743961779, 7.182556407378652]|[8.56499169171532, 8.507376290120261, 4.22049321552564, 4.092868396105128, 4.063533645943909, 4.052183050187961, 4.018515544451307, 4.01368419743139, 3.879991692942285]|{'show_chunks': 4, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Почему не ставятся автоматические курсы ?|6727190c-5616-4d6f-8911-d9ca09839807|80ce4faf-8cca-4639-8fc2-5f13aa61bdc9|[7.676223491053534, 7.38301301180506, 7.357121088934289, 7.3287809513148545, 7.236693635438726, 4.384454503474825, 3.280131062785342]|[4.691910425012759, 4.384454503474825, 4.358474382147709, 4.195888997068643, 4.106802665678879, 4.069776224014561, 3.9253920720595095]|{'show_chunks': 1, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
как можно добавить видео с хостинга Vimeo в обучение?|cdde4189-adff-47f4-89f8-5f2be35d03e4|29e0b896-10c1-4fbf-9f14-bfc88087e539|[7.230093516115394, 7.226119118490125, 7.069454268341845, 6.790844784938205, 6.765017793367963, 3.9345743839452108, 3.09714244890413]|[7.7066689891027105, 4.3497888330066345, 4.33864334254586, 3.9345743839452108, 3.7134946396615245, 3.6298229702504172, 3.4339340030820478]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Подскажите, пожалуйста, где можно изучить описание модуля Бизнес- процессы|0ebc35ed-6c83-4627-a3b6-84b7b442b3fc|8c2535a9-ad42-4c37-808d-757fb1197f23|[8.451202113904738, 8.18837346415234, 8.121632580416222, 7.885031474236294]|[10.038521890511095, 9.245959852897057, 9.08911704389985, 8.646779767326692, 4.158849805408889, 3.7065400136356144, 3.6026366743562868, 3.4263931809587955, 3.414865618107246]|{'show_chunks': 4, 'show_questions': 4, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
можно ли в базе знаний поставить ограничение по времени прохождения урока?|7bb39aff-60db-4daf-bc2e-815fa5ca4f29|6f5f63d3-78f9-4937-8ad6-97c0c6bf577e|[8.723505383774684, 8.012395782111167, 7.43390328719249, 4.59629101596531, 3.942018279385333, 3.349782737130796]|[10.547572618421242, 8.479916561566235, 4.59629101596531, 3.942018279385333, 3.856333043868815, 3.5373201765917472]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как выдать доступ сотрудникам к определенным возможностям platrum?|4ac45caf-b573-4274-a526-a705548bd119|016aef2e-30f6-48ff-81e2-9d910e294159|[11.00037289704074, 10.767923902450775, 10.250303551610397, 10.171871124100065, 6.479559015627192, 5.908194384382312, 4.534825154562378, 4.292232354219609]|[6.817033750830811, 6.772415146085214, 6.479559015627192, 5.908194384382312, 5.781010811043632, 5.65136984247982]|{'show_chunks': 4, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
как я могу удалить сотрудников?|90fef5e9-d73c-4269-86f0-85ba5a96ae4a|8974f359-72ba-463d-a0ea-65c327e0eb2f|[11.931228734886403, 10.883263600696267, 9.115933516531243, 8.330994601053575, 7.015327773244377, 3.945169504657977]|[10.732539656773618, 8.094578506678774, 7.015327773244377, 6.9484756271180474, 6.643192270760946, 6.400725179816591, 4.590099689815907, 4.586689871841847]|{'show_chunks': 2, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
что делает поле Статус в отчете Контроля качества?|eabe86a9-fc5a-434f-b097-2d1517009312|e5e147bf-5528-4fb1-8629-cf8ae406df68|[8.970775438030127, 8.440822621096137, 8.114829240447435, 7.6499995233710205, 3.729299508886675]|[10.142257124235256, 9.613660539495788, 9.042693121561939, 4.519430715839839, 4.456143067522434, 4.3337774168854475]|{'show_chunks': 4, 'show_questions': 3, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
как дать доступ только к одному боку бвзы знаний?|d1e48869-c135-4a8b-a446-4e67f13a93e6|5555e1aa-c105-488f-8ac7-892efd74b0e1|[7.421350376451529, 6.95520728033297, 4.45070169209112, 4.397827773142429, 4.2997097726862386, 3.079048698702529, 3.0425208439554368, 3.0055718001203147]|[4.4791849200491, 4.45070169209112, 4.397827773142429, 4.2997097726862386, 3.9203302503317237]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
"какое время хранения версий в разделе ""История версий""."|7eccfaa7-0e84-462d-8e33-318875f9f448|7fe7bc6a-8e2f-4c14-9779-f07567bd001d|[7.24624454707023, 7.05647648368623, 6.3671099447561215, 6.116876300841517, 3.4693660800989945, 3.411189541728841, 3.394671686542517, 3.1647129149824225]|[3.4693660800989945, 3.4162253649380507, 3.411189541728841, 3.394671686542517, 3.3788314714453445, 3.3439547092010686, 3.3093845101416526, 3.241302045005934, 3.192678836572134]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Какое максимальное количество версий по одной статье?|e01e548b-8b95-453f-9617-df4283788f44|7fe7bc6a-8e2f-4c14-9779-f07567bd001d|[7.827441730367717, 6.969807711240925, 6.607247558572814, 6.220979166386391, 4.451449196437135, 3.3748051320033294, 2.9600662614396303]|[9.654667296141081, 4.451449196437135, 4.26045339711361, 4.112332868923743, 3.411677192834045]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Сколько хранится самая последняя версия?|45417cb5-a536-4216-aa77-1dd69cbf9bbe|7fe7bc6a-8e2f-4c14-9779-f07567bd001d|[6.06806464867617, 3.4675318609102974, 3.400180738042723, 3.3202709062360602, 2.847112357245296, 2.556694313161838, 2.533579424283692]|[6.684786986169897, 3.4675318609102974, 3.400180738042723, 3.3202709062360602]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
как можно сделать бэкап всего проекта в отдельный проект или каким-либо другим образом.|6e29cd2d-c305-4628-bc77-7b345140fb64|87036923-3d89-4e1c-b6ed-456e5a8fd6d2|[7.475284931617658, 3.9083878416388322, 3.8296534900997417, 3.8097540892961073, 3.221826329723188, 3.1934649114542024, 3.0840218310714187]|[8.031534883394542, 3.9083878416388322, 3.8296534900997417, 3.8097540892961073]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
как поменять тип структуры?|c4d34084-e60d-401e-8d07-48e64cb33be1|18a05b68-3df7-421c-b88d-058038a32939|[8.459277288301518, 8.221491556827502, 8.185339431311366, 7.565498145330078, 6.954533414445054, 5.0021149219393]|[10.421848026889354, 9.982487436705666, 5.300874046857329, 5.0021149219393, 4.454361897044685, 4.137502299678859, 3.8400581551775974]|{'show_chunks': 4, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
я удалил сотрудников, но их задачи до сих пор у меня в делегированных, как их удалить?|4933f743-9e1d-402d-96a7-fc922ac51ee8|8974f359-72ba-463d-a0ea-65c327e0eb2f|[7.375575513165749, 7.1715197900426935, 6.906070007381418, 6.902765816396877, 3.294272512568616]|[8.514666034135494, 8.464709975030512, 7.921401744744531, 4.04958890334721, 3.9233964197627005, 3.668766097250243, 3.586179801519677]|{'show_chunks': 0, 'show_questions': 3, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Подскажите, можно ли сделать метрики своих подчиненных доступными другим подчиненным?|3572a426-248f-49b0-b66f-8df04f8d69ee|cb6efd45-d496-469e-9fd3-c324379097a4|[8.958765630539606, 8.907401554687127, 8.799889202417297, 5.829802671173757, 5.726580547199351, 3.718387986416988, 3.699334847122441, 3.627826195262198]|[5.829802671173757, 5.726580547199351, 5.381650914118271, 5.346368144507185, 5.0354403154785645]|{'show_chunks': 3, 'show_questions': 0, 'category': 'Есть данные в БЗ'}
я создал новый проект и на орг схеме не вижу возможности указать ЦКП|8bab5ecd-1fe8-426c-b978-b101d390572b|037df14a-de22-497c-9ed1-5b6ad4fea841|[6.579062978311551, 6.432138293202712, 3.3091012228349306, 3.048131220023477, 2.990173209305509]|[6.902981104225436, 6.609974891709021, 6.5740160830499885, 3.3091012228349306, 3.2611407917256687]|{'show_chunks': 0, 'show_questions': 3, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Как передать метрики?|b7aa1a22-d2be-48e7-8000-701a5d18bdf7|7116cc85-14d8-4415-828f-28180179d4b3|[12.030801286647627, 11.942743497547529, 10.547412089481899, 10.414982119042143, 5.495136832124044]|[17.272769600749296, 14.996300358344127, 13.83729286751872, 6.815174240784761, 6.435336242181404]|{'show_chunks': 4, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как добавить сотрудника?|7b6fbbca-990c-4573-86c3-d618e9d85e0f|a37b97e2-e8a5-4d9c-86c6-af96b5c12141|[27.60185917191665, 10.815034847122678, 10.507448251332711, 10.112209388077357, 9.757871641954234, 9.403338391755522, 5.9426955411052695]|[44.2948494776536, 7.016219649971385, 6.787047937131312, 5.9426955411052695, 5.61009583553472, 5.429656800398198, 5.243153627079913]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как выдать доступы сотруднику?|388087c9-5f5d-46fc-aecc-2a0be971b367|c75fc1c1-e650-46f7-b3a9-03b3b254ed85|[15.667741079173458, 14.453725389762724, 12.294897327381651, 12.050010624276009, 9.206326586074162, 3.7169945128677426, 3.604537658522311, 3.573868005676534]|[12.1644293991194, 11.061426902073068, 9.206326586074162, 8.85142873987933, 8.453103063095654]|{'show_chunks': 2, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Ваша учетная запись отключена - почему и что делать?|781c2210-3154-4c6e-8f9a-2263f2b74bb0|77fe6ce6-f59a-423d-b1ac-6b62381cb363|[6.714910052599151, 6.677214083362212, 6.594313297013074, 6.418880862737129, 3.5513043842708685, 3.543965882717511, 2.9445733372203002]|[7.254680278620571, 3.8068175578321592, 3.5513043842708685, 3.543965882717511, 3.5372030881238623, 3.5144870961518357, 3.396832242137549, 3.313656009526268]|{'show_chunks': 0, 'show_questions': 1, 'category': 'Нет данных в БЗ, попробуйте вопрос из списка предложенных'}
Как распечатать структуру?|e2869984-fdd8-4bc8-91ff-6bddeffafcf3|01a2f57b-560b-4b2c-a61f-7a13b9780317|[10.448677633143738, 10.131206364013632, 8.160167189064735, 8.108769374210652, 7.982974029695502, 5.042653561206121]|[12.40884842975763, 12.394436683370657, 5.237744555143199, 5.042653561206121, 4.905186999623718, 4.9002055623933565]|{'show_chunks': 2, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Пропали метрики после смены структуры, как вернуть?|b7aa1a22-d2be-48e7-8000-701a5d18bdf7|cc3ef8a3-c54a-4c09-8fc5-5027e55f6680|[7.031995228335467, 6.966895021552862, 6.89305947845452, 6.869190056529878, 6.6310230715013905, 4.02980847727287, 3.334274226364236, 3.0740676407104877]|[4.215800630904521, 4.02980847727287, 3.921406461857994, 3.901621883591446, 3.822061923121434, 3.575507079527955, 3.5483206869064485]|{'show_chunks': 0, 'show_questions': 0, 'category': 'Нет данных в БЗ, попробуйте переформулировать вопрос'}
Как заполнить метрики за предыдущие периоды?|e16aba65-aa74-4880-a5ca-6d66cf588eb2|50c6b08d-d850-4bcf-be9c-c60fb42ed935|[10.243784074137753, 10.102675286768235, 9.73179806822496, 9.425468471876798, 9.097095858924368, 9.039484662565506, 3.9746904296884256]|[12.37768761846935, 9.73179806822496, 6.581440005397833, 5.862487698919339, 5.103395431398969, 4.684368261656726]|{'show_chunks': 6, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как восстановить пароль?|58afcc83-acf7-4231-adcc-2064aaef9fd1|639db05a-aa60-42f8-b90e-c88e7718c00e|[11.634717297787228, 11.03982071089444, 10.368652545856431, 9.564224673805581, 9.546951377388876, 7.2116194255151, 6.881803561432084]|[16.508375048783677, 7.822513250181637, 7.2116194255151, 6.881803561432084, 6.754509725611892, 5.9882282164807465, 5.972552315673645, 5.789134100474879]|{'show_chunks': 3, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как восстановить удаленную статью?|7eccfaa7-0e84-462d-8e33-318875f9f448|91f82757-690d-4d25-bad1-134e9eae5cf1|[7.527139633426213, 7.309264309512702, 6.927695391513291, 4.792555052828263, 4.5482425499325645, 3.4900625923236253]|[8.43337447395805, 8.180971866172102, 4.792555052828263, 4.5482425499325645, 3.962315854881017, 3.856855203469079, 3.843105634680369, 3.7649246923772757]|{'show_chunks': 1, 'show_questions': 2, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
Как добавить на должность сотрудника?|7b6fbbca-990c-4573-86c3-d618e9d85e0f|a37b97e2-e8a5-4d9c-86c6-af96b5c12141|[17.290794931233894, 13.717587815364901, 12.86956910266668, 11.981361695711257, 11.245148665361558]|[23.240760572045456, 17.441007671210517, 14.47458616725084, 8.203291542411161, 6.507829115924911, 6.376809192490916, 5.340665924112397, 5.320837755546855]|{'show_chunks': 1, 'show_questions': 1, 'category': 'Есть данные в БЗ, если не получили ответ, попробуйте вопрос из списка предложенных'}
